seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,fish_retained,seine_comments,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,ctd_cast_id,zoop_sample_id,secchi,net_sets,survey_type,survey_comments,sampling_week
DN225,DE125,1,targeted,22,10:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,"Set on 1 slider, no catch",2015-05-25,D05,DI,E,Lewis Channel,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,2,5-10,NW,NA,NA,NA,NA,NA,NA,1,standard,"Set on 1 slider, no catch",May 26
DN226,DE126,NA,NA,20,11:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-25,D02,DI,E,Kinghorn Island,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,50,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN227,DE127,NA,NA,10,12:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-25,D01,DI,E,Hurtado Point,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,25,2,5-10,W,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN228,DE128,4,targeted,97,08:45:00,50.44466,-125.2804,30,200,0,0,5,10,1,1,1,2,NA,NA,1,SEMSP,Yes,NA,2015-05-26,D10,DI,W,Hall Point,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,100,1,0.1-5,NW,NA,NA,NA,NA,QPK1025,9.9,4,standard,NA,May 26
DN229,DE129,NA,NA,10,11:56:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-26,D11,DI,NA,Turn Island,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,0,2,10-15,W,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN230,DE130,1,targeted,11,12:29:00,50.30795,-125.32452,30,40,0,0,10,10,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-26,D09,DI,C,Okisollo Channel,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,0,1,0.1-5,W,NA,NA,NA,NA,QPK1026,12.9,1,standard,Nordic Queen (Chrys Neville's DFO chartered commercial seiner) set 500 m W of us 1.5 hours after our set.,May 26
DN231,DE131,NA,NA,40,06:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-27,D08,DI,W,Calm Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,50,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN232,DE132,NA,NA,25,07:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-27,D05,DI,E,Lewis Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,25,1,0.1-5,N,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN233,DE133,NA,NA,15,08:51:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-27,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,25,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN234,DE134,NA,NA,10,09:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-27,D01,DI,E,Hurtado Point,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
