ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U54,scale,BSC2-34,BSC2,34,BSC2-34,NA,collected,Dry,N,NA,NA,54
U55,scale,BSC2-36,BSC2,36,BSC2-36,NA,collected,Dry,N,NA,NA,55
U56,scale,BSC2-39,BSC2,39,BSC2-39,NA,collected,Dry,N,NA,NA,56
U57,scale,BSC2-43,BSC2,43,BSC2-43,NA,collected,Dry,N,NA,NA,57
U58,scale,BSC2-46,BSC2,46,BSC2-46,NA,collected,Dry,N,NA,NA,58
U59,scale,BSC3-1,BSC3,1,BSC3-1,NA,collected,Dry,N,NA,NA,59
U60,scale,BSC3-5,BSC3,5,BSC3-5,NA,collected,Dry,N,NA,NA,60
U61,scale,BSC2-27,BSC2,27,BSC2-27,NA,collected,Dry,N,NA,NA,61
U62,scale,BSC2-29,BSC2,29,BSC2-29,NA,collected,Dry,N,NA,NA,62
U63,scale,BSC2-35,BSC2,35,BSC2-35,NA,collected,Dry,N,NA,NA,63
U64,scale,BSC2-38,BSC2,38,BSC2-38,NA,collected,Dry,N,NA,NA,64
U66,scale,BSC2-42,BSC2,42,BSC2-42,NA,collected,Dry,N,NA,NA,66
U68,scale,BSC2-49,BSC2,49,BSC2-49,NA,collected,Dry,N,NA,NA,68
U69,scale,BSC3-3,BSC3,3,BSC3-3,NA,collected,Dry,N,NA,NA,69
U70,scale,BSC3-4,BSC3,4,BSC3-4,NA,collected,Dry,N,NA,NA,70
U71,scale,BSC2-31,BSC2,31,BSC2-31,NA,collected,Dry,N,NA,NA,71
U72,scale,BSC2-32,BSC2,32,BSC2-32,NA,collected,Dry,N,NA,NA,72
U73,scale,BSC2-45,BSC2,45,BSC2-45,NA,collected,Dry,N,NA,NA,73
U74,scale,BSC2-37,BSC2,37,BSC2-37,NA,collected,Dry,N,NA,NA,74
U75,scale,BSC2-40,BSC2,40,BSC2-40,NA,collected,Dry,N,NA,NA,75
U76,scale,BSC2-41,BSC2,41,BSC2-41,NA,collected,Dry,N,NA,NA,76
U77,scale,BSC2-47,BSC2,47,BSC2-47,NA,collected,Dry,N,NA,NA,77
U78,scale,BSC3-2,BSC3,2,BSC3-2,NA,collected,Dry,N,NA,NA,78
U79,scale,BSC3-8,BSC3,8,BSC3-8,NA,collected,Dry,N,NA,NA,79
U80,scale,BSC3-11,BSC3,11,BSC3-11,NA,collected,Dry,N,NA,NA,80
U81,scale,BSC2-50,BSC2,50,BSC2-50,NA,collected,Dry,N,NA,NA,81
U82,scale,BSC3-14,BSC3,14,BSC3-14,NA,collected,Dry,N,NA,NA,82
U83,scale,BSC3-17,BSC3,17,BSC3-17,NA,collected,Dry,N,NA,NA,83
U84,scale,BSC3-19,BSC3,19,BSC3-19,NA,collected,Dry,N,NA,NA,84
U85,scale,BSC3-21,BSC3,21,BSC3-21,NA,collected,Dry,N,NA,NA,85
U86,scale,BSC3-23,BSC3,23,BSC3-23,NA,collected,Dry,N,NA,NA,86
U87,scale,BSC3-24,BSC3,24,BSC3-24,NA,collected,Dry,N,NA,NA,87
U88,scale,BSC3-25,BSC3,25,BSC3-25,NA,collected,Dry,N,NA,NA,88
U89,scale,BSC3-26,BSC3,26,BSC3-26,NA,collected,Dry,N,NA,NA,89
U90,scale,BSC3-29,BSC3,29,BSC3-29,NA,collected,Dry,N,NA,NA,90
U91,scale,BSC3-6,BSC3,6,BSC3-6,NA,collected,Dry,N,NA,NA,91
