survey_id,line_out_depth,temperature,salinity,ysi_gather_lat,ysi_gather_long
DE253,0,10.6,28,50.385418,-125.375003
DE253,1,10.2,28.3,50.385418,-125.375003
DE254,0,10.1,28.7,50.330036,-125.459332
DE254,1,10,28.8,50.330036,-125.459332
DE255,0,15.4,25,50.023652,-124.915342
DE255,1,14.6,25.8,50.023652,-124.915342
DE257,0,11.6,28.1,49.907513,-125.162226
DE257,1,11.1,28.3,49.907513,-125.162226
DE258,0,14.4,27.4,NA,NA
DE258,1,13.9,27.3,NA,NA
DE261,0,15.9,26.5,50.190767,-125.138117
DE261,1,14.4,26.9,50.190767,-125.138117
DE259,0,13,27.3,50.235393,-125.11829
DE259,1,11.5,27.9,50.235393,-125.11829
DE260,0,16,17,NA,NA
DE260,1,15.3,19.2,NA,NA
DE262,0,10.4,28.1,50.287179,-125.33416
DE262,1,10.4,28.4,50.287179,-125.33416
DE263,0,10.5,28,NA,NA
DE263,1,10.6,28.1,NA,NA
DE264,0,10.6,28.4,50.208559,-125.355064
DE264,1,10.5,28.5,50.208559,-125.355064
DE266,0,10.2,28.7,NA,NA
DE266,1,10.1,28.8,NA,NA
DE267,0,10.4,28.5,NA,NA
DE267,1,10.4,28.5,NA,NA
DE268,0,11.3,27.5,50.451705,-125.397663
DE268,1,11.1,27.6,50.451705,-125.397663
DE269,0,15.9,25,NA,NA
DE269,1,15.8,25.1,NA,NA
DE271,0,11.9,27.7,49.935678,-125.175184
DE271,1,11.6,27.8,49.935678,-125.175184
DE272,0,15.1,25.4,NA,NA
DE272,1,15.1,25.5,NA,NA
DE274,0,15.8,19.7,50.320046,-125.042046
DE274,1,15.7,20,50.320046,-125.042046
DE275,0,13.2,27.1,50.239823,-125.118438
DE275,1,12.7,27.6,50.239823,-125.118438
DE276,0,13.5,26.8,NA,NA
DE276,1,13.3,27.3,NA,NA
DE277,0,11,28.2,50.308705,-125.324893
DE277,1,11,28.2,50.308705,-125.324893
DE278,0,10.8,28.4,50.275022,-125.378381
DE278,1,10.8,28.5,50.275022,-125.378381
DE279,0,11.1,28.1,50.224682,-125.394319
DE279,1,11,28.2,50.224682,-125.394319
DE281,0,10.4,28.9,50.348309,-125.455531
DE281,1,10.4,28.9,50.348309,-125.455531
DE282,0,10.9,28.5,NA,NA
DE282,1,10.8,28.3,NA,NA
DE283,0,11,28.3,50.462309,-125.365434
DE283,1,10.9,28.3,50.462309,-125.365434
DE284,0,14.6,25.1,50.317416,-125.051234
DE284,1,14.5,25.3,50.317416,-125.051234
DE286,0,13.1,26.1,50.23753,-125.118134
DE286,1,11.8,27.4,50.23753,-125.118134
DE287,0,12.8,27.7,NA,NA
DE287,1,12.6,27.7,NA,NA
DE288,0,10.8,28,50.244213,-125.397113
DE288,1,10.8,28.2,50.244213,-125.397113
DE289,0,10.8,28.4,50.274785,-125.377668
DE289,1,10.8,28.4,50.274785,-125.377668
DE290,0,11.3,28.1,50.30527,-125.332434
DE290,1,11.2,28.2,50.30527,-125.332434
DE292,0,11.5,28.2,NA,NA
DE292,1,11.2,28.4,NA,NA
DE293,0,11,28.6,50.274425,-125.379303
DE293,1,10.9,28.7,50.274425,-125.379303
DE294,0,11.4,28.1,50.246032,-125.395935
DE294,1,11,28.6,50.246032,-125.395935
DE295,1,10.7,28.6,NA,NA
DE295,0,10.8,28.7,NA,NA
DE296,0,12.5,28.3,NA,NA
DE296,1,11.3,28.6,NA,NA
DE297,0,11.9,26.9,50.462687,-125.368536
DE297,1,10.9,28.1,50.462687,-125.368536
DE298,0,16.2,16.9,50.319921,-125.042313
DE298,1,15.7,19.2,50.319921,-125.042313
DE299,0,12.6,27.5,50.239825,-125.12654
DE299,1,12.4,27.5,50.239825,-125.12654
DE300,0,15.7,25.7,50.191031,-125.143562
DE300,1,15.7,25.8,50.191031,-125.143562
DE301,0,11.4,28.7,NA,NA
DE301,1,11.4,28.8,NA,NA
DE302,0,11.3,28.9,50.244139,-125.397094
DE302,1,11.3,28.9,50.244139,-125.397094
DE303,0,10.9,29,50.347585,-125.455286
DE303,1,10.9,25,50.347585,-125.455286
DE304,0,10.9,28.8,50.391795,-125.370589
DE304,1,10.9,28.7,50.391795,-125.370589
DE305,0,13.1,23.7,50.461644,-125.368409
DE305,1,11.6,27.4,50.461644,-125.368409
DE307,0,15.1,25.3,50.317402,-125.04576
DE307,1,15.1,25.3,50.317402,-125.04576
DE308,0,14.6,26.2,50.190158,-125.141027
DE308,1,14.5,26.3,50.190158,-125.141027
DE309,0,15.1,26.1,NA,NA
DE309,1,15.1,26.1,NA,NA
DE310,0,15.8,23.2,49.917352,-125.163911
DE310,1,16.1,24.4,49.917352,-125.163911
DE312,0,13.7,26.6,49.917268,-125.164298
DE312,1,13.4,27.4,49.917268,-125.164298
DE313,0,16.4,25.5,49.996406,-125.147189
DE313,1,16.4,25.5,49.996406,-125.147189
DE314,0,10.8,28.2,NA,NA
DE314,1,10.8,28.4,NA,NA
DE315,0,10.8,28.9,50.391089,-125.365123
DE315,1,10.8,28.9,50.391089,-125.365123
DE316,0,10.9,29.2,50.347515,-125.455708
DE316,1,10.9,29.2,50.347515,-125.455708
DE320,0,11,28.2,50.235447,-125.399181
DE320,1,11,29,50.235447,-125.399181
DE321,0,11.4,28.8,50.274784,-125.379978
DE321,1,11.4,28.8,50.274784,-125.379978
DE317,0,12.1,28.4,50.307131,-125.332424
DE317,1,12.1,28.5,50.307131,-125.332424
DE323,0,15.4,14.1,50.318892,-125.044424
DE323,1,15.6,21.7,50.318892,-125.044424
DE325,0,13.1,27,50.23856,-125.116621
DE325,1,13.1,27,50.23856,-125.116621
DE327,0,17.4,24.9,NA,NA
DE327,1,16.9,25,NA,NA
DE329,0,11.6,28.4,50.306633,-125.331092
DE329,1,11.5,28.5,50.306633,-125.331092
DE331,0,11.4,28.7,50.244053,-125.397317
DE331,1,11.3,28.8,50.244053,-125.397317
DE334,0,11.2,29,50.274387,-125.377743
DE334,1,11.2,29,50.274387,-125.377743
DE335,0,11.4,28.8,NA,NA
DE335,1,11.3,28.7,NA,NA
DE337,0,10.9,29.5,50.390115,-125.613656
DE337,1,10.9,29.5,50.390115,-125.613656
DE338,0,12.4,22.9,50.458911,-125.36509
DE338,1,11.5,26.9,50.458911,-125.36509
DE339,0,16.4,25.4,NA,NA
DE339,1,16.4,25.5,NA,NA
DE340,0,16.9,19.1,50.319523,-125.041937
DE340,1,17,19.6,50.319523,-125.041937
DE341,0,15,26.4,NA,NA
DE341,1,14.9,26.3,NA,NA
DE345,0,16.3,19.5,50.240316,-125.119605
DE345,1,15,22.1,50.240316,-125.119605
DE346,0,18.7,17.5,50.31774,-125.045328
DE346,1,18.6,18.4,50.31774,-125.045328
DE347,0,17.8,24.5,50.190453,-125.143332
DE347,1,17.8,24.5,50.190453,-125.143332
DE348,0,11.3,28.9,50.274484,-125.377383
DE348,1,11.3,28.9,50.274484,-125.377383
DE349,0,11.3,28.9,NA,NA
DE349,1,11.3,28.9,NA,NA
DE350,0,11.9,28.5,50.307068,-125.329361
DE350,1,11.8,28.5,50.307068,-125.329361
DE352,0,11.1,28.4,50.379674,-125.373072
DE352,1,11,28.4,50.379674,-125.373072
DE353,0,11.6,28.7,50.348167,-125.455889
DE353,1,11.4,28.7,50.348167,-125.455889
DE354,0,12.1,28.8,50.387183,-125.618633
DE354,1,11.5,28.6,50.387183,-125.618633
DE355,0,15.8,19,50.461125,-125.364761
DE355,1,12.4,27,50.461125,-125.364761
DE356,0,16.3,23.5,NA,NA
DE356,1,16.4,23.7,NA,NA
DE357,0,13.6,26.5,NA,NA
DE357,1,13.3,26.8,NA,NA
DE359,0,15.4,26.5,50.190636,-125.142841
DE359,1,15.4,26.6,50.190636,-125.142841
DE360,0,11.5,28.9,NA,NA
DE360,1,11.4,29,NA,NA
DE361,0,12,28.6,50.306835,-125.334077
DE361,1,11.8,28.6,50.306835,-125.334077
DE363,0,11.9,28.7,50.243843,-125.396386
DE363,1,11.7,28.8,50.243843,-125.396386
JE242,0,10.2,30.5,50.480964,-126.409351
JE242,1,10.2,30.5,50.480964,-126.409351
JE243,0,9.8,30.6,50.523049,-126.377419
JE243,1,9.8,30.6,50.523049,-126.377419
JE244,0,9.8,30.6,NA,NA
JE244,1,9.8,30.6,NA,NA
JE245,0,9.8,31.3,50.477116,-126.02812
JE245,1,9.8,31.5,50.477116,-126.02812
JE246,0,10,31.4,NA,NA
