ufn,lab_count_motiles,cm_lab,cpaf_lab,caf_lab,cgf_lab,lgf_lab,laf_lab,lpaf_lab,lpam_lab,lam_lab,ucal_lab,ulep_lab
U285,0,0,0,0,0,0,0,0,0,0,0,0
U286,0,0,0,0,0,0,0,0,0,0,0,0
U287,0,0,0,0,0,0,0,0,0,0,0,0
U288,0,0,0,0,0,0,0,0,0,0,0,0
U289,0,0,0,0,0,0,0,0,0,0,0,0
U290,0,0,0,0,0,0,0,0,0,0,0,0
U291,1,0,0,0,0,0,0,0,0,0,1,0
U292,1,1,0,0,0,0,0,0,0,0,0,0
U293,2,1,0,1,0,0,0,0,0,0,0,0
U294,0,0,0,0,0,0,0,0,0,0,0,0
U295,1,1,0,0,0,0,0,0,0,0,0,0
U296,0,0,0,0,0,0,0,0,0,0,0,0
U297,1,1,0,0,0,0,0,0,0,0,0,0
U298,0,0,0,0,0,0,0,0,0,0,0,0
U299,1,1,0,0,0,0,0,0,0,0,0,0
U300,1,1,0,0,0,0,0,0,0,0,0,0
U301,0,0,0,0,0,0,0,0,0,0,0,0
U302,0,0,0,0,0,0,0,0,0,0,0,0
U303,2,1,1,0,0,0,0,0,0,0,0,0
U304,0,0,0,0,0,0,0,0,0,0,0,0
U305,0,0,0,0,0,0,0,0,0,0,0,0
U306,0,0,0,0,0,0,0,0,0,0,0,0
U307,3,2,1,0,0,0,0,0,0,0,0,0
U308,1,0,1,0,0,0,0,0,0,0,0,0
U309,0,0,0,0,0,0,0,0,0,0,0,0
U310,1,0,1,0,0,0,0,0,0,0,0,0
U311,0,0,0,0,0,0,0,0,0,0,0,0
U312,1,0,0,0,0,0,0,0,1,0,0,0
U313,0,0,0,0,0,0,0,0,0,0,0,0
U315,0,0,0,0,0,0,0,0,0,0,0,0
U316,0,0,0,0,0,0,0,0,0,0,0,0
U317,0,0,0,0,0,0,0,0,0,0,0,0
U318,1,1,0,0,0,0,0,0,0,0,0,0
U319,1,1,0,0,0,0,0,0,0,0,0,0
U320,2,0,1,1,0,0,0,0,0,0,0,0
U321,0,0,0,0,0,0,0,0,0,0,0,0
U322,0,0,0,0,0,0,0,0,0,0,0,0
U323,0,0,0,0,0,0,0,0,0,0,0,0
U324,0,0,0,0,0,0,0,0,0,0,0,0
U325,2,2,0,0,0,0,0,0,0,0,0,0
U326,2,1,0,1,0,0,0,0,0,0,0,0
U327,0,0,0,0,0,0,0,0,0,0,0,0
U328,1,1,0,0,0,0,0,0,0,0,0,0
U329,0,0,0,0,0,0,0,0,0,0,0,0
U330,0,0,0,0,0,0,0,0,0,0,0,0
U331,2,1,1,0,0,0,0,0,0,0,0,0
U332,0,0,0,0,0,0,0,0,0,0,0,0
U333,0,0,0,0,0,0,0,0,0,0,0,0
U334,1,0,0,0,0,0,0,0,0,0,1,0
U335,1,0,0,0,0,0,0,1,0,0,0,0
U336,3,2,1,0,0,0,0,0,0,0,0,0
U337,0,0,0,0,0,0,0,0,0,0,0,0
U338,0,0,0,0,0,0,0,0,0,0,0,0
U339,0,0,0,0,0,0,0,0,0,0,0,0
U340,0,0,0,0,0,0,0,0,0,0,0,0
U341,1,0,0,0,1,0,0,0,0,0,0,0
U342,1,0,0,1,0,0,0,0,0,0,0,0
U343,0,0,0,0,0,0,0,0,0,0,0,0
U344,0,0,0,0,0,0,0,0,0,0,0,0
U345,0,0,0,0,0,0,0,0,0,0,0,0
U346,0,0,0,0,0,0,0,0,0,0,0,0
U347,1,0,0,1,0,0,0,0,0,0,0,0
U348,1,1,0,0,0,0,0,0,0,0,0,0
U349,2,1,1,0,0,0,0,0,0,0,0,0
U350,0,0,0,0,0,0,0,0,0,0,0,0
U351,1,0,1,0,0,0,0,0,0,0,0,0
U352,0,0,0,0,0,0,0,0,0,0,0,0
U353,0,0,0,0,0,0,0,0,0,0,0,0
U354,0,0,0,0,0,0,0,0,0,0,0,0
U355,2,1,1,0,0,0,0,0,0,0,0,0
U356,0,0,0,0,0,0,0,0,0,0,0,0
U357,1,1,0,0,0,0,0,0,0,0,0,0
U358,0,0,0,0,0,0,0,0,0,0,0,0
U359,0,0,0,0,0,0,0,0,0,0,0,0
U360,0,0,0,0,0,0,0,0,0,0,0,0
U361,0,0,0,0,0,0,0,0,0,0,0,0
U362,0,0,0,0,0,0,0,0,0,0,0,0
U363,1,0,0,1,0,0,0,0,0,0,0,0
U364,0,0,0,0,0,0,0,0,0,0,0,0
U365,0,0,0,0,0,0,0,0,0,0,0,0
U366,0,0,0,0,0,0,0,0,0,0,0,0
U367,0,0,0,0,0,0,0,0,0,0,0,0
U368,3,2,1,0,0,0,0,0,0,0,0,0
U369,0,0,0,0,0,0,0,0,0,0,0,0
U370,2,2,0,0,0,0,0,0,0,0,0,0
U371,0,0,0,0,0,0,0,0,0,0,0,0
U372,0,0,0,0,0,0,0,0,0,0,0,0
U373,0,0,0,0,0,0,0,0,0,0,0,0
U374,0,0,0,0,0,0,0,0,0,0,0,0
U375,1,0,0,0,1,0,0,0,0,0,0,0
U376,0,0,0,0,0,0,0,0,0,0,0,0
U377,0,0,0,0,0,0,0,0,0,0,0,0
U378,2,0,0,1,1,0,0,0,0,0,0,0
U379,0,0,0,0,0,0,0,0,0,0,0,0
U380,0,0,0,0,0,0,0,0,0,0,0,0
U381,0,0,0,0,0,0,0,0,0,0,0,0
U382,0,0,0,0,0,0,0,0,0,0,0,0
U383,0,0,0,0,0,0,0,0,0,0,0,0
U384,0,0,0,0,0,0,0,0,0,0,0,0
U385,1,0,1,0,0,0,0,0,0,0,0,0
U386,1,0,1,0,0,0,0,0,0,0,0,0
U387,0,0,0,0,0,0,0,0,0,0,0,0
U388,0,0,0,0,0,0,0,0,0,0,0,0
U389,0,0,0,0,0,0,0,0,0,0,0,0
U390,0,0,0,0,0,0,0,0,0,0,0,0
U391,0,0,0,0,0,0,0,0,0,0,0,0
U392,0,0,0,0,0,0,0,0,0,0,0,0
U393,0,0,0,0,0,0,0,0,0,0,0,0
U394,0,0,0,0,0,0,0,0,0,0,0,0
U395,0,0,0,0,0,0,0,0,0,0,0,0
U396,1,1,0,0,0,0,0,0,0,0,0,0
U397,3,2,1,0,0,0,0,0,0,0,0,0
U398,0,0,0,0,0,0,0,0,0,0,0,0
U399,0,0,0,0,0,0,0,0,0,0,0,0
U400,4,2,1,0,0,0,0,0,0,0,1,0
U401,0,0,0,0,0,0,0,0,0,0,0,0
U402,0,0,0,0,0,0,0,0,0,0,0,0
U403,0,0,0,0,0,0,0,0,0,0,0,0
U404,0,0,0,0,0,0,0,0,0,0,0,0
U405,2,0,2,0,0,0,0,0,0,0,0,0
U406,0,0,0,0,0,0,0,0,0,0,0,0
U407,1,0,1,0,0,0,0,0,0,0,0,0
U408,0,0,0,0,0,0,0,0,0,0,0,0
U409,0,0,0,0,0,0,0,0,0,0,0,0
U410,0,0,0,0,0,0,0,0,0,0,0,0
U411,1,1,0,0,0,0,0,0,0,0,0,0
U412,1,1,0,0,0,0,0,0,0,0,0,0
U413,1,0,1,0,0,0,0,0,0,0,0,0
U414,2,1,0,1,0,0,0,0,0,0,0,0
U415,0,0,0,0,0,0,0,0,0,0,0,0
U416,0,0,0,0,0,0,0,0,0,0,0,0
U417,0,0,0,0,0,0,0,0,0,0,0,0
U418,0,0,0,0,0,0,0,0,0,0,0,0
U419,0,0,0,0,0,0,0,0,0,0,0,0
U420,0,0,0,0,0,0,0,0,0,0,0,0
U421,0,0,0,0,0,0,0,0,0,0,0,0
U422,5,1,4,0,0,0,0,0,0,0,0,0
U423,0,0,0,0,0,0,0,0,0,0,0,0
U424,1,1,0,0,0,0,0,0,0,0,0,0
U425,0,0,0,0,0,0,0,0,0,0,0,0
U426,0,0,0,0,0,0,0,0,0,0,0,0
U427,0,0,0,0,0,0,0,0,0,0,0,0
U428,0,0,0,0,0,0,0,0,0,0,0,0
U429,0,0,0,0,0,0,0,0,0,0,0,0
U430,0,0,0,0,0,0,0,0,0,0,0,0
U431,0,0,0,0,0,0,0,0,0,0,0,0
U432,0,0,0,0,0,0,0,0,0,0,0,0
U433,0,0,0,0,0,0,0,0,0,0,0,0
U434,0,0,0,0,0,0,0,0,0,0,0,0
U435,0,0,0,0,0,0,0,0,0,0,0,0
U436,0,0,0,0,0,0,0,0,0,0,0,0
U437,1,0,0,0,1,0,0,0,0,0,0,0
U438,1,1,0,0,0,0,0,0,0,0,0,0
U439,0,0,0,0,0,0,0,0,0,0,0,0
U440,1,1,0,0,0,0,0,0,0,0,0,0
U441,2,2,0,0,0,0,0,0,0,0,0,0
U442,0,0,0,0,0,0,0,0,0,0,0,0
U443,0,0,0,0,0,0,0,0,0,0,0,0
U444,0,0,0,0,0,0,0,0,0,0,0,0
U445,0,0,0,0,0,0,0,0,0,0,0,0
U446,1,0,1,0,0,0,0,0,0,0,0,0
U447,0,0,0,0,0,0,0,0,0,0,0,0
U448,0,0,0,0,0,0,0,0,0,0,0,0
U449,0,0,0,0,0,0,0,0,0,0,0,0
U450,0,0,0,0,0,0,0,0,0,0,0,0
U451,1,1,0,0,0,0,0,0,0,0,0,0
U452,1,1,0,0,0,0,0,0,0,0,0,0
U453,0,0,0,0,0,0,0,0,0,0,0,0
U454,1,0,1,0,0,0,0,0,0,0,0,0
U455,0,0,0,0,0,0,0,0,0,0,0,0
U456,0,0,0,0,0,0,0,0,0,0,0,0
U457,0,0,0,0,0,0,0,0,0,0,0,0
U458,1,0,0,0,1,0,0,0,0,0,0,0
U459,0,0,0,0,0,0,0,0,0,0,0,0
U460,0,0,0,0,0,0,0,0,0,0,0,0
U461,2,2,0,0,0,0,0,0,0,0,0,0
U462,1,0,0,1,0,0,0,0,0,0,0,0
U463,1,0,0,1,0,0,0,0,0,0,0,0
U464,0,0,0,0,0,0,0,0,0,0,0,0
U465,0,0,0,0,0,0,0,0,0,0,0,0
U466,0,0,0,0,0,0,0,0,0,0,0,0
U467,0,0,0,0,0,0,0,0,0,0,0,0
U468,1,0,0,0,1,0,0,0,0,0,0,0
U469,1,0,0,1,0,0,0,0,0,0,0,0
U470,0,0,0,0,0,0,0,0,0,0,0,0
U471,0,0,0,0,0,0,0,0,0,0,0,0
U472,0,0,0,0,0,0,0,0,0,0,0,0
U473,0,0,0,0,0,0,0,0,0,0,0,0
U474,0,0,0,0,0,0,0,0,0,0,0,0
U475,1,1,0,0,0,0,0,0,0,0,0,0
U476,0,0,0,0,0,0,0,0,0,0,0,0
U477,1,0,1,0,0,0,0,0,0,0,0,0
U478,1,1,0,0,0,0,0,0,0,0,0,0
U479,1,0,1,0,0,0,0,0,0,0,0,0
U480,1,1,0,0,0,0,0,0,0,0,0,0
U481,0,0,0,0,0,0,0,0,0,0,0,0
U482,0,0,0,0,0,0,0,0,0,0,0,0
U483,0,0,0,0,0,0,0,0,0,0,0,0
U484,1,1,0,0,0,0,0,0,0,0,0,0
U485,0,0,0,0,0,0,0,0,0,0,0,0
U486,2,2,0,0,0,0,0,0,0,0,0,0
U487,1,1,0,0,0,0,0,0,0,0,0,0
U488,1,1,0,0,0,0,0,0,0,0,0,0
U489,0,0,0,0,0,0,0,0,0,0,0,0
U490,0,0,0,0,0,0,0,0,0,0,0,0
U491,0,0,0,0,0,0,0,0,0,0,0,0
U492,0,0,0,0,0,0,0,0,0,0,0,0
U493,0,0,0,0,0,0,0,0,0,0,0,0
U494,1,1,0,0,0,0,0,0,0,0,0,0
U495,1,0,1,0,0,0,0,0,0,0,0,0
U496,0,0,0,0,0,0,0,0,0,0,0,0
U497,0,0,0,0,0,0,0,0,0,0,0,0
U498,0,0,0,0,0,0,0,0,0,0,0,0
U499,1,0,1,0,0,0,0,0,0,0,0,0
U500,0,0,0,0,0,0,0,0,0,0,0,0
U501,1,0,0,0,1,0,0,0,0,0,0,0
U502,0,0,0,0,0,0,0,0,0,0,0,0
U503,0,0,0,0,0,0,0,0,0,0,0,0
U504,2,2,0,0,0,0,0,0,0,0,0,0
U505,0,0,0,0,0,0,0,0,0,0,0,0
U506,1,0,1,0,0,0,0,0,0,0,0,0
