ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U12971,isotope,S12971IS1,BIS4,5,BIS4-5,NA,collected,N,NA,NA
U12972,isotope,S12972IS1,BIS4,1,BIS4-1,NA,collected,N,NA,NA
U12973,isotope,S12973IS1,BIS4,7,BIS4-7,NA,collected,N,NA,NA
U12974,isotope,S12974IS1,BIS4,3,BIS4-3,NA,collected,N,NA,NA
U12975,isotope,S12975IS1,BIS4,9,BIS4-9,NA,collected,N,NA,NA
U12976,isotope,S12976IS1,BIS4,12,BIS4-12,NA,collected,N,NA,NA
U12977,isotope,S12977IS1,BIS4,14,BIS4-14,NA,collected,N,NA,NA
U12978,isotope,S12978IS1,BIS4,18,BIS4-18,NA,collected,N,NA,NA
U12979,isotope,S12979IS1,BIS4,16,BIS4-16,NA,collected,N,NA,NA
U12980,isotope,S12980IS1,BIS4,20,BIS4-20,NA,collected,N,NA,NA
U12981,isotope,S12981IS1,BIS1,3,BIS1-3,NA,collected,N,NA,NA
U12982,isotope,S12982IS1,BIS1,5,BIS1-5,NA,collected,N,NA,NA
U12983,isotope,S12983IS1,BIS1,7,BIS1-7,NA,collected,N,NA,NA
U12984,isotope,S12984IS1,BIS1,20,BIS1-20,NA,collected,N,NA,NA
U12985,isotope,S12985IS1,BIS1,18,BIS1-18,NA,collected,N,NA,NA
U12986,isotope,S12986IS1,BIS1,14,BIS1-14,NA,collected,N,NA,NA
U12987,isotope,S12987IS1,BIS1,9,BIS1-9,NA,collected,N,NA,NA
U12988,isotope,S12988IS1,BIS1,1,BIS1-1,NA,collected,N,NA,NA
U12989,isotope,S12989IS1,BIS1,12,BIS1-12,NA,collected,N,NA,NA
U12990,isotope,S12990IS1,BIS1,16,BIS1-16,NA,collected,N,NA,NA
U10125,isotope,S10125IS1,BIS11,94,BIS11-94,NA,collected,N,NA,NA
U10125,isotope,S10125IS2,BIS13,5,BIS13-5,NA,collected,N,NA,NA
U10126,isotope,S10126IS1,BIS11,89,BIS11-89,NA,collected,N,NA,NA
U10126,isotope,S10126IS2,BIS13,9,BIS13-9,NA,collected,N,NA,NA
U10127,isotope,S10127IS1,BIS11,7,BIS11-7,NA,collected,N,NA,NA
U10127,isotope,S10127IS2,BIS13,12,BIS13-12,NA,collected,N,NA,NA
U10130,isotope,S10130IS1,BIS11,1,BIS11-1,NA,collected,N,NA,NA
U10565,isotope,S10565IS1,BIS13,26,BIS13-26,NA,collected,N,NA,NA
U10565,isotope,S10565IS2,BIS13,4,BIS13-4,NA,collected,N,NA,NA
U10566,isotope,S10566IS1,BIS13,28,BIS13-28,NA,collected,N,NA,NA
U10566,isotope,S10566IS2,BIS13,6,BIS13-6,NA,collected,N,NA,NA
U11167,isotope,S11167IS1,BIS11,52,BIS11-52,NA,collected,N,NA,NA
U11167,isotope,S11167IS2,BIS13,56,BIS13-56,NA,collected,N,NA,NA
U11168,isotope,S11168IS1,BIS11,56,BIS11-56,NA,collected,N,NA,NA
U11168,isotope,S11168IS2,BIS13,54,BIS13-54,NA,collected,N,NA,NA
U11169,isotope,S11169IS1,BIS11,60,BIS11-60,NA,collected,N,NA,NA
U11169,isotope,S11169IS2,BIS13,52,BIS13-52,NA,collected,N,NA,NA
U11163,isotope,S11163IS1,BIS11,63,BIS11-63,NA,collected,N,NA,NA
U11164,isotope,S11164IS1,BIS11,65,BIS11-65,NA,collected,N,NA,NA
U11161,isotope,S11161IS1,BIS11,67,BIS11-67,NA,collected,N,NA,NA
U11165,isotope,S11165IS1,BIS11,69,BIS11-69,NA,collected,N,NA,NA
U12808,isotope,S12808IS1,BIS9,23,BIS9-23,NA,collected,N,NA,NA
U10244,isotope,S10244IS1,BIS9,25,BIS9-25,NA,collected,N,NA,NA
U10963,isotope,S10963IS1,BIS9,27,BIS9-27,NA,collected,N,NA,NA
U10481,isotope,S10481IS1,BIS9,29,BIS9-29,NA,collected,N,NA,NA
U10482,isotope,S10482IS1,BIS9,32,BIS9-32,NA,collected,N,NA,NA
U10483,isotope,S10483IS1,BIS9,34,BIS9-34,NA,collected,N,NA,NA
U10484,isotope,S10484IS1,BIS9,36,BIS9-36,NA,collected,N,NA,NA
U10602,isotope,S10602IS1,BIS11,98,BIS11-98,NA,collected,N,NA,NA
U10603,isotope,S10603IS1,BIS11,96,BIS11-96,NA,collected,N,NA,NA
U10604,isotope,S10604IS1,BIS13,13,BIS13-13,NA,collected,N,NA,NA
U10605,isotope,S10605IS1,BIS13,15,BIS13-15,NA,collected,N,NA,NA
U10083,isotope,S10083IS1,BIS11,97,BIS11-97,NA,collected,N,NA,NA
U10602,isotope,S10602IS2,BIS13,100,BIS13-100,NA,collected,N,NA,NA
U10603,isotope,S10603IS2,BIS13,49,BIS13-49,NA,collected,N,NA,NA
U10604,isotope,S10604IS2,BIS13,96,BIS13-96,NA,collected,N,NA,NA
U10605,isotope,S10605IS2,BIS13,94,BIS13-94,NA,collected,N,NA,NA
U10083,isotope,S10083IS2,BIS13,99,BIS13-99,NA,collected,N,NA,NA
U11052,isotope,S11052IS1,BIS7,100,BIS7-100,NA,collected,N,NA,NA
U11055,isotope,S11055IS1,BIS7,98,BIS7-98,NA,collected,N,NA,NA
U10121,isotope,S10121IS1,BIS15,100,BIS15-100,NA,collected,N,NA,NA
U10123,isotope,S10123IS1,BIS15,98,BIS15-98,NA,collected,N,NA,NA
U10128,isotope,S10128IS1,BIS15,96,BIS15-96,NA,collected,N,NA,NA
U10122,isotope,S10122IS1,BIS15,94,BIS15-94,NA,collected,N,NA,NA
U10124,isotope,S10124IS1,BIS15,92,BIS15-92,NA,collected,N,NA,NA
U10112,isotope,S10112IS1,BIS10,66,BIS10-66,NA,collected,N,NA,NA
U10111,isotope,S10111IS1,BIS10,67,BIS10-67,NA,collected,N,NA,NA
U10271,isotope,S10271IS1,BIS10,72,BIS10-72,NA,collected,N,NA,NA
U10112,isotope,S10112IS2,BIS13,80,BIS13-80,NA,collected,N,NA,NA
U10111,isotope,S10111IS2,BIS13,81,BIS13-81,NA,collected,N,NA,NA
U10271,isotope,S10271IS2,BIS13,83,BIS13-83,NA,collected,N,NA,NA
U5073,isotope,S5073IS1,BIS10,76,BIS10-76,NA,collected,N,NA,NA
U5074,isotope,S5074IS1,BIS10,80,BIS10-80,NA,collected,N,NA,NA
U5075,isotope,S5075IS1,BIS10,83,BIS10-83,NA,collected,N,NA,NA
U5073,isotope,S5073IS2,BIS13,85,BIS13-85,NA,collected,N,NA,NA
U5074,isotope,S5074IS2,BIS13,87,BIS13-87,NA,collected,N,NA,NA
U5075,isotope,S5075IS2,BIS13,89,BIS13-89,NA,collected,N,NA,NA
U10606,isotope,S10606IS1,BIS13,17,BIS13-17,NA,collected,N,NA,NA
U10606,isotope,S10606IS2,BIS13,92,BIS13-92,NA,collected,N,NA,NA
U10564,isotope,S10564IS1,BIS13,24,BIS13-24,NA,collected,N,NA,NA
U10564,isotope,S10564IS2,BIS13,2,BIS13-2,NA,collected,N,NA,NA
U11281,isotope,S11281IS1,BIS13,97,BIS13-97,Fish left at room temp for ~ 2 days & had begun to decompose. David Costalago requested muscle tissue for isotope analysis,collected,N,NA,NA
U11282,isotope,S11282IS1,BIS13,98,BIS13-98,Fish left at room temp for ~ 2 days & had begun to decompose. David Costalago requested muscle tissue for isotope analysis,collected,N,NA,NA
U10569,isotope,S10569IS1,BIS15,1,BIS15-1,NA,collected,N,NA,NA
U10562,isotope,S10562IS1,BIS11,12,BIS11-12,NA,collected,N,NA,NA
U10562,isotope,S10562IS2,BIS13,16,BIS13-16,NA,collected,N,NA,NA
U11322,isotope,S11322IS1,BIS11,72,BIS11-72,NA,collected,N,NA,NA
U11323,isotope,S11323IS1,BIS11,74,BIS11-74,NA,collected,N,NA,NA
U11321,isotope,S11321IS1,BIS11,76,BIS11-76,NA,collected,N,NA,NA
U10601,isotope,S10601IS1,BIS11,78,BIS11-78,NA,collected,N,NA,NA
U11322,isotope,S11322IS2,BIS13,1,BIS13-1,NA,collected,N,NA,NA
U11323,isotope,S11323IS2,BIS13,3,BIS13-3,NA,collected,N,NA,NA
